rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0015-dup-0,,andi,robjon,2913,sydney,,8501 0767 4223 2079,5149.06,34,18238.8,87,na,81.040
rec-0015-org,female,andie,robson,2913,sydney,08 6088 7931,8501 0767 4223 2079,5149.06,34,18238.8,81,na,81.040
rec-0016-org,male,nicole,hyrycz,2603,sydney,07 4650 1483,5739 5244 7959 5982,63979.27,116,78089.1,46,na,75.987
rec-0017-org,male,alisa,morrison,2902,perth,07 6025 9648,8587 8974 0031 4023,52794.68,15,71138.6,82,na,69.869
rec-0018-org,male,alana,wilkey,2913,sydney,07 9668 6564,4078 0845 8373 1196,35236.99,76,11825.0,76,na,74.639
rec-0019-dup-0,female,loren,mattews,291w,hobart,,5981 5539 4177 3950,78746.39,19,37581.9,534,na,72.113
rec-0019-dup-1,female,loren,matthews,2o13,hobard,,5981 5539 4177 3950,78746.39,19,37581.9,3,na,72.113
rec-0019-org,female,lauren,matthews,2913,hobart,04 7104 5686,5981 5539 4177 3950,78746.39,19,37581.9,34,na,72.113
rec-0020-dup-0,,olifia,kioia,2605,pert,02 9483 7684,6040 2780 7840 2488,44219.39,117,94741.0,65,m,75.075
rec-0020-dup-1,,olivya,kioia,2606,peahth,,6040 2780 7840 2488,44219.39,117,94741.0,65,m,75.075
rec-0020-dup-2,,olisia,gioya,2606,pert,02 9483 7684,640 2780 7840 2488,44219.39,117,94741.0,65,m,75.075
rec-0020-org,female,olivia,gioia,2606,perth,02 9483 7684,6040 2780 7840 2488,44219.39,117,94741.0,65,m,75.075
rec-0021-org,male,tara,purser,2903,perth,08 1501 5986,3983 9003 2843 6350,54816.32,64,64630.7,64,na,75.995
rec-0022-dup-0,male,pets,o,2612,melpourne,08 3761 0928,3805 76436 6370 0926,7592.90,78,117547.3,0,na,78.426
rec-0022-org,male,peta,ho,2612,melbourne,08 3761 0928,3805 7646 6370 0926,7592.90,78,117547.3,60,na,78.426
rec-0023-dup-0,male,ela,hffman,2621,melbourn,,0929 2720 7648 4196,44764.33,70,31712.6,60,na,76.483
rec-0023-dup-1,,ela,hoffrnan,2611,melbourne,,0929 2720 27648 4196,44764.33,70,31712.6,60,na,76.483
rec-0023-dup-2,male,ela,hofman,2621,melblurne,,0929 2720 7648 4196,44764.33,70,31712.6,60,na,76.483
rec-0023-org,male,ella,hoffman,2611,melbourne,07 1686 2433,0929 2720 7648 4196,44764.33,70,31712.6,60,na,76.483
rec-0024-dup-0,,paril,avtic,261q,perth,,4002 6340 2159 8422,34980.00,14,95644.7,12,m,75.521
rec-0024-org,female,april,avdic,2611,perth,08 7931 9963,4002 6340 2159 8422,34980.00,14,95644.7,12,m,75.521
rec-0025-org,female,brielle,clarke,2602,melbourne,08 1585 0435,1833 9502 8386 5509,33811.39,11,79100.7,93,na,74.174
rec-0026-dup-0,,sarab,wallev,2905,sydney,07 0071 7906,13237224 6349 7951,42255.92,31,43148.7,42,f,75.921
rec-0026-org,female,sarah,walley,2905,sydney,07 0071 7906,1323 7224 6349 7951,42255.92,31,43148.7,24,f,75.921
rec-0027-org,male,brooke,douthwaite,2604,sydney,03 5808 5028,8922 1183 8021 2227,22919.12,94,90192.2,103,m,78.207
rec-0028-dup-0,male,emiili,georg,290r,melbourhe,03 4679 5937,0469 4204 512 0839,46282.42,85,10421.5,49,f,82.483
rec-0028-org,male,emiily,george,2905,melbourne,03 4679 5937,0469 4204 5127 0839,46282.42,85,10421.5,49,f,82.483
rec-0029-org,male,emma,craswell,2612,melbourne,04 1775 7340,1578 6831 0540 8398,68493.55,25,90188.4,15,m,78.200
rec-0030-org,female,caitlin,zimmermann,2602,perth,08 5914 8002,1247 0282 6713 6510,71386.02,41,57975.2,97,na,82.749
rec-0031-dup-0,male,alhleigh,whide,missing,sydney,,0796 5380 8561 5882,22460.54,16,10401.0,584,f,81.010
rec-0031-dup-1,male,ashleigh,hite,q617,sydnei,,0796 5380 861 5882,22460.54,16,10401.0,54,f,81.010
rec-0031-org,male,ashleigh,white,2617,sydney,08 4868 1146,0796 5380 8561 5882,22460.54,16,10401.0,54,f,81.010
rec-0032-org,male,samantha,ryan,2602,sydney,08 3053 9645,5047 2638 7892 6640,60556.04,96,62883.6,54,na,76.454
rec-0033-dup-0,female,katerine,lam0rey,260q,sydney,,4631 7897 246 0481,40673.60,60,42907.5,95,f,78.321
rec-0033-dup-1,,katerine,lampry,2602,stydney,02 8221 9896,4631 7897 24662 0481,40673.60,60,42907.5,95,f,78.321
rec-0033-dup-2,,katerine,lampry,2602,sytney,,4631 7897 2466 0481,40673.60,60,42907.5,95,f,78.321
rec-0033-org,female,katherine,lamprey,2602,sydney,02 8221 9896,4631 7897 2466 0481,40673.60,60,42907.5,95,f,78.321
rec-0034-dup-0,,april,noack,291e,sycney,,5706 800 3108 2375,42649.58,3,75109.2,60,na,68.532
rec-0034-dup-1,,april,noaxk,missing,sydneh,,5706 8030 3108 2375,42649.58,3,75109.2,60,na,68.532
rec-0034-dup-2,,april,noacck,2914,sydney,,5706 80303108 2375,42649.58,3,75109.2,65,na,68.532
rec-0034-org,male,april,noack,2914,sydney,04 0608 3163,5706 8030 3108 2375,42649.58,3,75109.2,60,na,68.532
rec-0035-org,female,kylee,mcsorley,2602,sydney,04 9374 3732,1283 6737 2182 2921,43993.14,47,68149.2,60,m,71.678
rec-0036-dup-0,,aleecsandra,ckotal,2611,pert,,8502 7178 0908 7699,76376.00,55,80602.7,74,f,82.827
rec-0036-org,female,alexandra,kotal,2611,perth,03 1586 7204,8502 7178 0908 7699,76376.00,55,80602.7,74,f,82.827
rec-0037-dup-0,male,olivya,reimers,2995,sydney,,3308 8938 93767 2613,53184.37,58,143547.7,83,f,73.302
rec-0037-org,male,olivia,reimers,2905,sydney,08 6077 5718,3308 8938 3767 2613,53184.37,58,143547.7,93,f,73.302
rec-0038-dup-0,,mava,parkitni,2625,sydney,07 8976 9492,4928 8293 6184 4590,73658.08,107,40762.1,180,m,81.068
rec-0038-dup-1,male,maya,paahkitny,2625,sydnsy,,4928 8293  6184 4590,73658.08,107,40762.1,108,m,81.068
rec-0038-org,male,maya,parkitny,2615,sydney,07 8976 9492,4928 8293 6184 4590,73658.08,107,40762.1,108,m,81.068
rec-0039-dup-0,,catherine,beudler,2904,sydney,,5150 4504 71730 1961,51925.31,18,7304.1,13,na,81.249
rec-0039-dup-1,,cadherine,beudler,2004,sydney,,5150 4504 1730 1961,51925.31,18,7304.1,93,na,81.249
rec-0039-org,female,catherine,beutler,2904,sydney,07 5141 2784,5150 4504 1730 1961,51925.31,18,7304.1,93,na,81.249
rec-0040-dup-0,male,mackayla,wyne,2612,melbouahne,03 7017 5535,1886 5836 6718 95429,64651.88,91,89717.1,8102,m,79.906
rec-0040-dup-1,,mackayla,wyne,2612,melborne,,1886 5836 6718 9549,64651.88,91,89717.1,102,m,79.906
rec-0040-dup-2,male,mackayla,wynne,2622,melbourme,,18866 5836 6718 9549,64651.88,91,89717.1,102,m,79.906
rec-0040-org,male,makayla,wynne,2612,melbourne,03 7017 5535,1886 5836 6718 9549,64651.88,91,89717.1,102,m,79.906
rec-0041-org,male,sara,artis,2617,sydney,08 9852 6934,0062 8802 1382 6149,42628.26,1,220785.9,71,f,77.944
rec-0042-dup-0,female,xantbe,lejlie,26q4,brisbaneo,,4887 0826 1359 1933,40957.08,99,68985.6,25,na,80.037
rec-0042-dup-1,female,xante,leslie,2614,prisbane,,4887 0826 1359 01933,40957.08,99,68985.6,52,na,80.037
rec-0042-dup-2,female,xante,lesli,26q4,brisvane,,4887 0826 1359 1933,40957.08,99,68985.6,25,na,80.037
rec-0042-org,female,xanthe,leslie,2614,brisbane,04 1659 2032,4887 0826 1359 1933,40957.08,99,68985.6,25,na,80.037
rec-0043-org,male,ellouise,hill-smith,2615,canberra,02 6491 4261,9636 6143 6761 3320,54921.49,89,68842.0,39,na,77.353
rec-0044-dup-0,,kambell,reld,2902,brisbane,,3478 3310 95050 5537,20412.38,31,164501.5,106,f,79.212
rec-0044-org,female,cambell,reid,2902,brisbane,02 0809 0816,3478 3310 9500 5537,20412.38,31,164501.5,106,f,79.212
rec-0045-org,male,sascha,leslie,2611,canberra,02 7776 1299,8605 0016 5383 8943,51087.13,3,38942.7,81,f,70.468
rec-0046-dup-0,male,hayly,mccarthy,2696,sydney,,1408 8361 21151 8945,51616.25,12,35498.9,57,f,70.933
rec-0046-org,male,hayley,mccarthy,2606,sydney,03 1021 6755,1408 8361 2151 8945,51616.25,12,35498.9,53,f,70.933
rec-0047-org,male,emiily,beams,2617,perth,08 5251 8148,9955 0090 0885 6150,67649.02,38,219474.8,90,f,76.387
rec-0048-org,male,emiily,crouch,2605,sydney,08 8454 0753,1241 2448 4130 9078,27203.05,109,55698.2,66,m,74.059
rec-0049-dup-0,,yasiiiin,priestt,2612,perth,,6112 4346 6522 8427,67959.80,81,254580.6,49,f,75.150
rec-0049-org,male,yasmin,priest,2611,perth,03 9604 9749,6112 4346 6522 8427,67959.80,81,254580.6,49,f,75.150
rec-0050-org,male,pascale,white,2605,perth,03 8550 4160,8871 2455 9038 0800,80032.78,20,35695.5,26,f,71.313
rec-0051-dup-0,,zamantha,twikger,2617,melbourne,,5751 6145 117 1341,4944.46,12,35492.5,106,m,80.136
rec-0051-org,female,samantha,twigger,2617,melbourne,03 5039 9370,5751 6145 1017 1341,4944.46,12,35492.5,106,m,80.136
rec-0052-org,female,erin,coleman,2913,melbourne,03 5949 6859,6790 4058 7346 8026,39710.01,59,44526.1,51,m,83.217
rec-0053-dup-0,female,sopbie,jedynack,2615,sydhey,,7269 8185 776 3273,22367.46,113,27065.7,61,na,78.708
rec-0053-dup-1,,zophie,jedynack,2615,sydney,,7269 81785 7766 3273,22367.46,113,27065.7,61,na,78.708
rec-0053-org,female,sophie,jedynak,2615,sydney,03 7281 8720,7269 8185 7766 3273,22367.46,113,27065.7,61,na,78.708
rec-0054-org,male,nikki,reid,2611,sydney,07 4463 7250,9334 7771 5772 1605,41474.74,37,30227.1,88,f,78.556
rec-0055-org,male,chloe,manson,2906,melbourne,02 6830 4965,1120 8839 4580 9325,57080.32,112,33245.1,109,f,74.618
rec-0056-org,male,georgia,hislop,2602,canberra,03 6303 9390,0431 5238 9268 2980,30690.52,107,115163.6,88,na,78.409
rec-0057-org,female,ebony,hobill,2604,canberra,04 1109 1903,8474 6889 9012 1842,61542.97,75,36498.1,30,m,74.192
rec-0058-dup-0,,tahnee,mcgiahr,291w,sydhey,,2133 9489 6362 5705,64130.95,31,206105.0,63,f,77.361
rec-0058-dup-1,,tahni,mcjirr,2913,sydn3y,07 3641 4687,2133 9489 63662 5705,64130.95,31,206105.0,63,f,77.361
rec-0058-org,female,tahnee,mcgirr,2913,sydney,07 3641 4687,2133 9489 6362 5705,64130.95,31,206105.0,63,f,77.361
rec-0059-org,male,abby,mccully,2602,melbourne,02 6883 8514,8915 6407 4241 2556,79008.21,71,65470.9,61,na,78.260
rec-0060-dup-0,,jali,cruickjhanks,missing,melbourne,04 5519 5730,8630 1456 374 8989,37596.34,60,79178.9,32,m,72.642
rec-0060-org,female,zali,cruickshanks,2615,melbourne,04 5519 5730,8630 1456 3474 8989,37596.34,60,79178.9,32,m,72.642
rec-0061-dup-0,,abbi,mick,2607,melbourne,04 5837 6796,8878 7023 4689 178,40584.56,114,38222.6,2,na,72.142
rec-0061-dup-1,,abbi,micke,2t07,melbouahne,04 5837 6796,8878 7023 4689 6178,40584.56,114,38222.6,62,na,72.142
rec-0061-org,male,abby,micke,2607,melbourne,04 5837 6796,8878 7023 4689 6178,40584.56,114,38222.6,26,na,72.142
rec-0062-org,male,bethany,green,2902,sydney,03 5550 5909,5071 2557 4473 9603,53303.68,29,56933.3,19,m,73.181
rec-0063-org,male,danielle,pitsikas,2617,melbourne,02 6829 6716,1011 7941 7021 4064,67105.93,53,59646.8,76,na,78.455
rec-0064-dup-0,female,satah,riean,2612,melbourne,,6373 4868 01233 2469,56888.83,91,22134.1,17,m,77.009
rec-0064-org,female,sarah,ryan,2611,melbourne,03 2252 6813,6373 4868 0123 2469,56888.83,91,22134.1,17,m,77.009
rec-0065-org,male,emma,sarah,2902,melbourne,02 5988 1668,3568 9967 4894 5891,53078.31,104,227150.7,102,f,78.761
rec-0066-dup-0,female,maahley,sceahri,26q5,hobart,,2213 9875 8754 5913,101972.45,72,100880.9,471,f,73.885
rec-0066-dup-1,,marlei,scerru,2615,hobart,,2213 9875 8754 5913,101972.45,72,100880.9,27,f,73.885
rec-0066-dup-2,,marlei,scern,2625,hobart,04 5504 8511,2213 98758754 5913,101972.45,72,100880.9,47,f,73.885
rec-0066-org,female,marley,scerri,2615,hobart,04 5504 8511,2213 9875 8754 5913,101972.45,72,100880.9,47,f,73.885
rec-0067-org,female,olivia,balcher,2615,melbourne,02 9255 6088,9578 2816 5605 1818,75155.15,17,116153.5,56,f,79.703
rec-0068-dup-0,male,casdy,wonack,2697,,,4319 8258 3183 9530,43572.36,4,57307.7,91,m,72.064
rec-0068-dup-1,male,castey,womacck,2607,melbouahne,,43019 8258 3183 9530,43572.36,4,57307.7,91,m,72.064
rec-0068-org,male,casey,womack,2607,melbourne,03 0310 3902,4319 8258 3183 9530,43572.36,4,57307.7,91,m,72.064
rec-0069-dup-0,female,damiella,winfield,2615,pertj,,9317 6680 994 9072,87509.82,118,97493.1,24,m,75.402
rec-0069-org,female,daniella,winfield,2615,perth,08 5828 2203,9317 6680 9894 9072,87509.82,118,97493.1,42,m,75.402
rec-0070-org,male,katelyn,bishop,2904,melbourne,07 4315 0894,9803 5564 1370 7634,80002.69,57,56981.0,58,na,71.071
rec-0071-org,female,abby,margles,2611,sydney,08 6255 9737,7147 3062 8537 5631,34988.16,4,29428.5,28,f,71.893
rec-0072-org,female,georgia,snell,2913,melbourne,04 8270 1896,4663 2907 6631 3459,80197.33,54,23026.3,53,f,79.013
rec-0073-dup-0,female,annapella,nevilile,2607,melborne,,6235 1132 8767 5916,58169.52,86,21984.9,403,f,74.951
rec-0073-dup-1,female,annabela,nevile,2607,,03 3423 8951,623 1132 8767 5916,58169.52,86,21984.9,130,f,74.951
rec-0073-org,female,annabella,neville,2607,melbourne,03 3423 8951,6235 1132 8767 5916,58169.52,86,21984.9,103,f,74.951
rec-0074-dup-0,male,istabelle,pikuda,2600,sydne6,,2188 5147 91944 5561,61596.89,52,39255.9,109,m,76.349
rec-0074-dup-1,,ijabelle,pikvsa,2600,sydnfey,,2188 5147 9194 5561,61596.89,52,39255.9,109,m,76.349
rec-0074-org,male,isabelle,pikusa,2600,sydney,02 2381 3562,2188 5147 9194 5561,61596.89,52,39255.9,109,m,76.349
rec-0075-org,male,courtney,furze,2611,melbourne,04 3066 7167,4276 1581 3628 8206,70414.30,27,145382.0,58,na,72.916
rec-0076-dup-0,,hloe,robson,2611,melbouahne,,7699 0280 75616 4597,28780.68,102,34489.6,58,na,74.559
rec-0076-org,male,chloe,robson,2611,melbourne,07 2898 9404,7699 0280 7616 4597,28780.68,102,34489.6,58,na,74.559
rec-0077-org,male,danielle,jolly,2605,sydney,04 5396 5259,8303 7842 2350 9426,26956.14,5,131472.4,22,f,72.717
rec-0078-org,male,jessica,beattie,2617,sydney,02 5550 5414,9051 0597 3701 0919,60033.95,96,126803.3,96,na,71.434
rec-0079-org,male,montana,turkentine,2614,melbourne,02 6986 8048,8938 6315 2163 3413,50504.96,64,149679.6,44,f,75.867
rec-0080-org,male,erin,tippins,2617,sydney,08 7360 7244,9025 5011 2807 1382,63756.30,9,49374.8,47,f,74.944
rec-0081-dup-0,,alaria,lamp5ey,26q7,brisbane,,6141 1354 8860 9151,46191.23,62,37210.4,37,m,70.723
rec-0081-org,female,alana,lamprey,2617,brisbane,03 5389 5995,6141 1354 8860 9151,46191.23,62,37210.4,37,m,70.723
rec-0082-org,female,mikaela,rees,2615,sydney,03 5673 2904,5661 5087 5053 4791,76318.22,9,22483.6,41,f,82.758
rec-0083-org,female,ruby,goode,2607,sydney,03 9678 7079,9440 0755 4080 7985,59406.40,82,98015.9,83,f,68.610
rec-0084-dup-0,,lly,dunlink,2612,melborne,02 8441 8461,6228 5745 5470 0896,30684.70,109,50374.4,526,na,73.971
rec-0084-dup-1,,lili,dunlink,2612,melboyrne,,6228 5745 5470 0896,30684.70,109,50374.4,26,na,73.971
rec-0084-org,male,lily,dunling,2612,melbourne,02 8441 8461,6228 5745 5470 0896,30684.70,109,50374.4,26,na,73.971
rec-0085-dup-0,,talya,ryan,2616,pergh,,9220 8178 7330 5190,46271.41,96,56854.4,34,m,74.874
rec-0085-dup-1,female,talya,riean,261t,perdh,03 6040 8832,9220 8178 7330 5190,46271.41,96,56854.4,4,m,74.874
rec-0085-dup-2,,talia,rian,2625,pert,,9220 8178 7330 5190,46271.41,96,56854.4,34,m,74.874
rec-0085-org,female,talia,ryan,2615,perth,03 6040 8832,9220 8178 7330 5190,46271.41,96,56854.4,34,m,74.874
rec-0086-org,male,madison,morrison,2615,sydney,07 7366 1666,7331 6511 4379 2403,67322.63,87,98668.7,108,f,74.487
rec-0087-dup-0,,m:a,himore,2607,melbourne,,1007 618 8387 3194,63720.11,33,72967.8,70,m,71.363
rec-0087-dup-1,,mya,highmor,2607,melbourn,,1007 9618 8387 3194,63720.11,33,72967.8,70,m,71.363
rec-0087-dup-2,male,mya,himore,2608,melbou5ne,,1007 9618 8387 3194,63720.11,33,72967.8,70,m,71.363
rec-0087-org,male,mia,highmore,2607,melbourne,02 9115 9807,1007 9618 8387 3194,63720.11,33,72967.8,70,m,71.363
rec-0088-dup-0,male,lea,blske,2602,sydny,,2954 9728 2987 20192,58899.78,35,84015.0,84,m,80.258
rec-0088-dup-1,male,leah,plake,missing,sdney,,29504 9728 2987 2019,58899.78,35,84015.0,84,m,80.258
rec-0088-dup-2,,leag,blake,2603,sydney,,2954 9728 2987 2019,58899.78,35,84015.0,85,m,80.258
rec-0088-org,male,leah,blake,2602,sydney,08 3023 9819,2954 9728 2987 2019,58899.78,35,84015.0,84,m,80.258
rec-0089-dup-0,,soe,mollross,2615,,,3864 0357 41903 0020,59450.42,95,68995.9,21,m,69.963
rec-0089-org,male,zoe,mollross,2615,melbourne,04 2576 1693,3864 0357 4190 0020,59450.42,95,68995.9,21,m,69.963
rec-0090-org,male,india,clarke,2913,sydney,03 9209 3380,8808 9898 6366 6648,65758.79,72,47411.5,80,m,73.202
rec-0091-dup-0,female,racel,zimmonds,26p4,,,5037 7345 9005 3721,98324.15,79,27960.4,102,f,75.230
rec-0091-org,female,rachel,simmonds,2604,sydney,04 0027 1038,5037 7345 9005 3721,98324.15,79,27960.4,102,f,75.230
rec-0092-org,female,teagan,roles,2614,brisbane,07 6281 5986,0522 3246 2204 6334,59761.53,53,120637.7,22,na,75.265
rec-0093-dup-0,,isohel,offman,2611,brisbabe,04 6271 5558,3693 1858 099 7491,59706.22,54,61948.9,105,f,68.549
rec-0093-dup-1,,isobel,hovman,2611,brizbane,,3693 18581 8099 7491,59706.22,54,61948.9,105,f,68.549
rec-0093-org,female,isobel,hoffman,2611,brisbane,04 6271 5558,3693 1858 8099 7491,59706.22,54,61948.9,105,f,68.549
rec-0094-org,female,lucy,vimpany,2906,melbourne,02 1082 0513,7142 8124 6976 0054,61768.67,0,85081.1,84,f,86.379
rec-0095-dup-0,,hoily,wilkinz,2614,melbournd,03 9953 6116,0380 6275 1842 2143,36919.94,24,97843.4,395,m,75.659
rec-0095-dup-1,male,hlly,ilkins,2615,melboirne,03 9953 6116,0380 6275 1842 2143,36919.94,24,97843.4,5,m,75.659
rec-0095-org,male,holly,wilkins,2614,melbourne,03 9953 6116,0380 6275 1842 2143,36919.94,24,97843.4,95,m,75.659
rec-0096-org,female,lilly,kaspar,2604,brisbane,07 3458 4226,3603 8918 5678 2305,50390.57,92,124590.2,48,f,85.460
rec-0097-org,female,mia,snelling,2621,brisbane,07 3188 7213,8329 6484 7659 2505,36498.73,30,193166.6,28,f,82.512
rec-0098-dup-0,male,nel,kollier,missing,sytney,,3466 5404 1478 5828,65446.01,30,59038.5,73,f,76.942
rec-0098-dup-1,,nelk,collieah,2706,sydney,,3466 5404 1478 5828,65446.01,30,59038.5,73,f,76.942
rec-0098-org,male,nell,collier,2606,sydney,08 6152 4066,3466 5404 1478 5828,65446.01,30,59038.5,73,f,76.942
rec-0099-org,male,isabella,fitzpatrick,2617,sydney,07 5410 6379,1891 0522 4930 5308,44074.90,105,114132.6,77,f,79.181
rec-0100-dup-0,male,deagan,tai,260y,perty,,4296 2320 0747 0809,38729.00,31,54872.7,21,na,73.796
rec-0100-dup-1,,teagan,dao,2696,perth,,4296 230 0747 0809,38729.00,31,54872.7,21,na,73.796
rec-0100-org,male,teagan,tao,2606,perth,04 9169 3332,4296 2320 0747 0809,38729.00,31,54872.7,21,na,73.796
rec-0101-org,male,miranda,mccaffrey,2904,melbourne,03 2694 3241,9765 2694 0793 1120,97981.88,10,80555.9,89,na,76.481
rec-0102-org,male,stephanie,nguyen,2602,perth,04 2787 7752,2643 5214 4386 8464,34458.49,47,25771.8,16,f,74.182
rec-0103-dup-0,,hnnah,seskis,missing,,04 0909 2366,6632 2995 719 8261,56685.51,50,28584.4,52,m,75.912
rec-0103-org,male,hannah,seskis,2617,perth,04 0909 2366,6632 2995 7719 8261,56685.51,50,28584.4,52,m,75.912
rec-0104-dup-0,,ebony,jpicer,2913,perth,,5227 64824 8951 5246,60742.59,111,99508.2,9,m,68.521
rec-0104-org,female,ebony,spicer,2913,perth,07 9372 5380,5227 6424 8951 5246,60742.59,111,99508.2,49,m,68.521
rec-0105-org,female,emiily,noack,2905,sydney,07 5391 4363,6251 1382 8818 7062,76672.28,17,81601.7,73,m,71.837
rec-0106-dup-0,,jessica,sdanley,2y07,sydneky,,9231 4817 0506 1974,70730.42,20,37952.5,94,f,80.327
rec-0106-org,male,jessica,stanley,2607,sydney,07 3612 6516,9231 4817 0506 1974,70730.42,20,37952.5,94,f,80.327
rec-0107-dup-0,female,chloe,rutd,260p,,,9071 1057 6062 5884,78048.21,17,93429.3,51,m,73.151
rec-0107-dup-1,female,cloe,rut,260o,sydney,,9071 1057 602 5884,78048.21,17,93429.3,55,m,73.151
rec-0107-dup-2,female,chloe,rutd,2690,stydney,,9071 1057 6062 884,78048.21,17,93429.3,55,m,73.151
rec-0107-org,female,chloe,rudd,2600,sydney,03 4256 2542,9071 1057 6062 5884,78048.21,17,93429.3,55,m,73.151
rec-0108-org,male,erin,matthews,2614,sydney,02 9138 6680,0056 0802 3538 9117,61909.05,96,79473.9,60,f,77.453
rec-0109-dup-0,female,madiston,brokensire,2615,canbetra,,5498 55012 0024 7823,21735.86,56,82084.2,35,m,81.671
rec-0109-dup-1,,madison,brokenxire,261t,,,5498 5502 0024 7823,21735.86,56,82084.2,35,m,81.671
rec-0109-dup-2,,madizon,brokenshiar,2615,canberra,,5498 5502 024 7823,21735.86,56,82084.2,35,m,81.671
rec-0109-org,female,madison,brokenshire,2615,canberra,08 8656 4500,5498 5502 0024 7823,21735.86,56,82084.2,35,m,81.671
rec-0110-org,male,jayme,miles,2902,sydney,04 6167 3576,0051 6766 0954 7375,44229.43,30,31883.2,90,na,71.772
rec-0111-org,male,lauren,hage,2617,melbourne,03 1151 3925,0515 3326 4953 4472,33394.45,70,54130.9,37,na,79.461
rec-0112-org,male,tiana,lill,2604,canberra,04 6635 2883,7429 3074 4255 1053,40787.25,39,155387.1,57,f,69.320
rec-0113-dup-0,male,larua,reeke,2612,zydney,02 6650 7002,8091 5931 3649 77262,61179.09,97,106080.6,27,f,71.222
rec-0113-dup-1,,lavra,reece,missing,sydndy,,8091 5931 3649 7262,61179.09,97,106080.6,27,f,71.222
